book_code,chapter,verse,word
1-ne,1,15,father
1-ne,1,15,praising
1-ne,1,15,god
1-ne,1,15,soul
1-ne,1,15,rejoice
1-ne,1,15,heart
1-ne,1,15,filled
1-ne,1,15,lord
1-ne,1,15,shown
1-ne,1,16,nephi
1-ne,1,16,account
1-ne,1,16,father
1-ne,1,16,written
1-ne,1,16,written
1-ne,1,16,avisions
1-ne,1,16,bdreams
1-ne,1,16,written
1-ne,1,16,cprophesied
1-ne,1,16,spake
1-ne,1,16,children
1-ne,1,16,account
1-ne,1,17,account
1-ne,1,17,proceedings
1-ne,1,17,days
1-ne,1,17,aabridgment
1-ne,1,17,record
1-ne,1,17,bfather
1-ne,1,17,cplates
1-ne,1,17,mine
1-ne,1,17,hands
1-ne,1,17,abridged
1-ne,1,17,record
1-ne,1,17,dfather
1-ne,1,17,account
1-ne,1,17,mine
1-ne,1,17,life
1-ne,1,18,lord
1-ne,1,18,shown
1-ne,1,18,marvelous
1-ne,1,18,father
1-ne,1,18,lehi
1-ne,1,18,adestruction
1-ne,1,18,jerusalem
1-ne,1,18,people
1-ne,1,18,bprophesy
1-ne,1,18,declare
1-ne,1,18,heard
1-ne,1,19,ajews
1-ne,1,19,bmock
1-ne,1,19,testified
1-ne,1,19,testified
1-ne,1,19,cwickedness
1-ne,1,19,abominations
1-ne,1,19,testified
1-ne,1,19,heard
1-ne,1,19,read
1-ne,1,19,book
1-ne,1,19,manifested
1-ne,1,19,plainly
1-ne,1,19,coming
1-ne,1,19,dmessiah
1-ne,1,19,redemption
1-ne,1,19,world
1-ne,1,20,jews
1-ne,1,20,heard
1-ne,1,20,angry
1-ne,1,20,prophets
1-ne,1,20,acast
1-ne,1,20,stoned
1-ne,1,20,slain
1-ne,1,20,bsought
1-ne,1,20,life
1-ne,1,20,nephi
1-ne,1,20,tender
1-ne,1,20,cmercies
1-ne,1,20,lord
1-ne,1,20,chosen
1-ne,1,20,faith
1-ne,1,20,mighty
1-ne,1,20,power
1-ne,1,20,ddeliverance
1-ne,1,1,book
1-ne,1,1,nephihis
1-ne,1,1,reign
1-ne,1,1,ministryan
1-ne,1,1,account
1-ne,1,1,lehi
1-ne,1,1,wife
1-ne,1,1,sariah
1-ne,1,1,sons
1-ne,1,1,called
1-ne,1,1,beginning
1-ne,1,1,eldest
1-ne,1,1,laman
1-ne,1,1,lemuel
1-ne,1,1,sam
1-ne,1,1,nephi
1-ne,1,1,lord
1-ne,1,1,warns
1-ne,1,1,lehi
1-ne,1,1,depart
1-ne,1,1,land
1-ne,1,1,jerusalem
1-ne,1,1,prophesieth
1-ne,1,1,people
1-ne,1,1,iniquity
1-ne,1,1,seek
1-ne,1,1,destroy
1-ne,1,1,life
1-ne,1,1,taketh
1-ne,1,1,days
1-ne,1,1,journey
1-ne,1,1,wilderness
1-ne,1,1,family
1-ne,1,1,nephi
1-ne,1,1,taketh
1-ne,1,1,brethren
